organization,organization_type,service_categories,shelter,food,health,employment,clothes,other,website,email,phone,address,notes,source_url
Father Joe's Villages,Nonprofit 501(c)(3),Shelter; Food; Health; Employment; Clothes; Other,Yes,Yes,Yes,Yes,Yes,Yes,https://my.neighbor.org/,clinic@neighbor.org,800-466-3537,"3350 E St, San Diego, CA 92102","Large homelessness-services provider. Shelter/housing navigation, meals, Village Health Center, employment services, showers/mail/storage and other basic-needs services. General service entry points vary by program.",https://my.neighbor.org/get-help/
Alpha Project for the Homeless,Nonprofit 501(c)(3),Shelter; Food; Employment; Clothes; Other,Yes,Yes,No,Yes,Yes,Yes,https://alphaproject.org/,info@alphaproject.org,619-542-1877,"3737 Fifth Ave, Suite 203, San Diego, CA 92103","Emergency/bridge and family shelters, food support, transitional employment through Take Back the Streets, supportive services and clothing support in some programs. Shelter intake may require coordinated referral.",https://alphaproject.org/who-we-are/contact.html
San Diego Rescue Mission,Nonprofit 501(c)(3),Shelter; Food; Health; Employment; Clothes; Other,Yes,Yes,Yes,Yes,Yes,Yes,https://www.sdrescue.org/,sdrminfo@sdrescue.org,619-687-3720,"120 Elm St, San Diego, CA 92101","Emergency shelter, residential recovery, meals, clothing/necessities, wellness/medical-dental connections, education and employment/housing support. Programs are generally referral-based; call 2-1-1 or SDRM.",https://www.sdrescue.org/contact-us/
Third Avenue Charitable Organization (TACO),Nonprofit 501(c)(3),Food; Health; Clothes; Other,No,Yes,Yes,No,Yes,Yes,https://www.tacosd.org/,info@tacosd.org,619-235-9445,"1420 Third Ave, San Diego, CA 92101","Serves people experiencing homelessness and poverty with warm meals, clothing, device charging, mail services, help recovering ID documents, and a free medical/pharmacy clinic.",https://www.tacosd.org/
Youth Assistance Coalition,Nonprofit 501(c)(3),Shelter; Food; Health; Employment; Clothes; Other,Yes,Yes,Yes,Yes,Yes,Yes,https://www.yacsd.org/,info@yacsd.org,619-458-6588,"2801 B St #238, San Diego, CA 92102","Focused on youth experiencing homelessness. Provides or connects youth to meals, clothing/bedding, housing/shelter, health, counseling, job training, education, transportation and other resources.",https://www.yacsd.org/breaking-the-pattern/
Interfaith Community Services,Nonprofit 501(c)(3),Shelter; Food; Health; Employment; Other,Yes,Yes,Yes,Yes,No,Yes,https://www.interfaithservices.org/,communications@interfaithservices.org,760-489-6380,"550 W Washington Ave, Escondido, CA 92025","North County provider offering shelter/housing, emergency food/basic needs, employment/economic development, behavioral health/substance-use services, medical respite and case management.",https://www.interfaithservices.org/services
Community Christian Service Agency (CCSA),Nonprofit 501(c)(3),Shelter; Food; Health; Clothes; Other,Referral,Yes,Limited,No,Yes,Yes,https://www.ccsasandiego.org/,manager@ccsasandiego.org,858-274-2271,"4167 Rappahannock Ave, San Diego, CA 92117","Emergency food and clothing, temporary housing/emergency shelter referrals, transportation help, ID/birth certificate assistance, resource counseling; Pacific Beach site has volunteer nursing/first-aid referrals.",https://www.ccsasandiego.org/services/emergency-services
New Day Urban Ministries,Nonprofit / faith-based ministry,Food; Clothes; Other,No,Yes,No,No,Yes,Yes,https://newdayurbanministries.org/,info@newdayurbanministries.org,619-232-2753,"2459 Market St, San Diego, CA 92102","Basic-needs support for people experiencing homelessness and poverty, including groceries/food, clothing, hygiene kits, casework and resource support.",https://newdayurbanministries.org/contact/
Sharia's Closet,Nonprofit 501(c)(3),Clothes; Other,No,No,No,No,Yes,Yes,https://shariascloset.org/,info@shariascloset.org,619-808-4979,"6244 El Cajon Blvd, Suite 5, San Diego, CA 92115",Free emergency clothing and hygiene items for individuals and families in crisis. Personalized Bags of Hope; requests may be submitted directly or through caseworkers/referring agencies.,https://shariascloset.org/contact-us/
Feeding San Diego,Nonprofit,Food; Other,No,Yes,No,No,No,Yes,https://feedingsandiego.org/,info@feedingsandiego.org,858-452-3663,"9477 Waples St, Suite 100, San Diego, CA 92121","Countywide hunger-relief and food-rescue nonprofit. Offers free food distributions, an on-site Marketplace, partner food sites, and CalFresh application assistance.",https://feedingsandiego.org/connect-with-us/
Jacobs & Cushman San Diego Food Bank,Nonprofit,Food; Other,No,Yes,No,No,No,Yes,https://www.sandiegofoodbank.org/,appointments@sandiegofoodbank.org,858-527-1419,"9850 Distribution Ave, San Diego, CA 92121",Major countywide food bank. Connects individuals to partner distributions and supports CalFresh outreach. Main warehouse is not necessarily a standard walk-in pantry; use distribution locator/partners.,https://www.sandiegofoodbank.org/programs/food-to-nonprofits-program/
San Diego Hunger Coalition,Nonprofit,Food; Other,No,Yes,No,No,No,Yes,https://www.sdhunger.org/,info@sdhunger.org,619-501-7917,"845 15th St, Suite 103, San Diego, CA 92101","Food-access organization focused on connecting people and systems to food assistance through research, education, advocacy and resource navigation rather than operating as a traditional shelter.",https://www.sdhunger.org/contact-us
Family Health Centers of San Diego,Nonprofit community health center / FQHC,Health; Employment; Other,No,Limited,Yes,Referral,No,Yes,https://www.fhcsd.org/,reentrysupport@fhcsd.org,619-515-2300,Multiple San Diego County locations,"Community health network serving people experiencing homelessness; medical, dental, behavioral health, benefits enrollment and case-management/referral services. Reentry support also includes housing navigation and job training/employment referrals.",https://www.fhcsd.org/homeless-services/
San Ysidro Health,Nonprofit 501(c)(3) / FQHC,Health; Other,No,No,Yes,No,No,Yes,https://www.syhealth.org/,giving@syhealth.org,619-662-4100,Multiple San Diego County locations,"Community health provider offering accessible primary and specialty care, dental, pharmacy and other services. Call/text main line for appointments and service routing.",https://www.syhealth.org/contact-us
San Diego American Indian Health Center,Nonprofit 501(c)(3) / FQHC,Health; Other,No,No,Yes,No,No,Yes,https://www.sdaihc.org/,info@sdaihc.org,619-234-2158,"2630 First Ave, San Diego, CA 92103","Community health center providing medical, dental, behavioral health and wellness services for all people; IHS-funded and FQHC.",https://www.sdaihc.org/contacts/
San Diego Workforce Partnership,Public workforce development nonprofit / workforce board,Employment; Other,No,No,No,Yes,No,Yes,https://workforce.org/,hello@workforce.org,619-319-9675,Career centers throughout San Diego County,"Free job-search, career-development, training, apprenticeship and employment programs for San Diego County job seekers; career centers serve ages 16+ and specialized populations.",https://workforce.org/career-centers/
The Hub - Homelessness Response Center,Publicly funded homelessness resource center,Shelter; Employment; Other,Referral,Referral,Referral,Yes,Referral,Yes,https://www.sandiego.gov/homelessness-strategies-and-solutions/services/homelessness-response-center,thehub@improvedtsd.org,211,"San Diego, CA","System-navigation hub connecting unhoused individuals and families to housing/shelter, employment readiness, basic-needs assistance, case management and community resources. Referrals available through 2-1-1.",https://www.sandiego.gov/homelessness-strategies-and-solutions/services/homelessness-response-center
2-1-1 San Diego,Nonprofit information and referral service,Shelter; Food; Health; Employment; Clothes; Other,Referral,Referral,Referral,Referral,Referral,Yes,https://211sandiego.org/,211help@211sandiego.org,211,"San Diego County, CA","Countywide information and referral system. Useful as a fallback/router for shelter, food, health, employment, clothing and other social services when a direct provider is unavailable.",https://www.sandiego.gov/homelessness-strategies-and-solutions/assistance
